bin	prones_50_preds	specter_preds
0	0.3756345177664975	0.47715736040609136
1	0.5553633217993079	0.4688581314878893
2	0.5523255813953488	0.4790697674418605
3	0.5884823035392921	0.48110377924415115
4	0.6134269416410707	0.5225976305397104
5	0.5987738419618529	0.5156675749318801
6	0.6387865041111426	0.6092996881202155
7	0.65625	0.6161684782608695
8	0.6508852198130097	0.6208474239108812
9	0.6745874587458746	0.6450495049504951
10	0.6798516687268232	0.6506489493201484
11	0.6814580031695721	0.6539403544157902
12	0.702328431372549	0.6724264705882353
13	0.6982657604874619	0.6713147410358565
14	0.6965230111398673	0.6794193766175313
15	0.69887734760256	0.6859720910712412
16	0.6860036832412523	0.6693267853488848
17	0.7098529692572083	0.6951498949780409
18	0.6990909090909091	0.6816363636363636
19	0.7076192987081465	0.687230863872045
20	0.7052303429165223	0.6937997921718047
21	0.7084403213782822	0.6960987327093514
22	0.6974115334207077	0.6951179554390564
23	0.711452884690452	0.7059879772035288
24	0.7022058823529411	0.6882929642445214
25	0.7181120701465954	0.7053020961775586
26	0.7178970626462179	0.7099038211593449
27	0.7087410737900026	0.6959137794234329
28	0.7174420031913588	0.7036332392291641
29	0.707428786547873	0.6961977663445853
30	0.7129450230079922	0.7030152579317026
31	0.7211824287129803	0.7022459539799626
32	0.7309438344594594	0.7120460304054054
33	0.722821180094535	0.7054543523288545
34	0.7200019638648861	0.7109681853888452
35	0.7361675372412458	0.7085026117237376
36	0.7292950827269779	0.7086712703341521
37	0.7218063039435411	0.7093605455152353
38	0.7245702170807024	0.7110199566760381
39	0.732278452234802	0.7103623880325558
40	0.7247412292754419	0.7067875790052213
41	0.7323215476984657	0.7103068712474984
42	0.7341619715281064	0.7096468969076599
43	0.7266605702884695	0.7129437193449164
44	0.7191309395472262	0.7098432705862842
45	0.7292183374669974	0.7104968397471798
46	0.7313409297007452	0.713046563892284
47	0.7316569340166051	0.7129464108370079
48	0.7275644655868917	0.7104239815758674
49	0.729041204437401	0.7110142630744849
50	0.7310748492373182	0.71440227030862
51	0.7224075416968818	0.7128716461203771
52	0.721703129747797	0.7089030689759951
53	0.7202593304061471	0.7101056531284303
54	0.720467032967033	0.7103021978021978
55	0.7212490736374049	0.7147140066024389
56	0.7211087709762891	0.711631224947347
57	0.7213042520378938	0.7125546847952664
58	0.7208194083426167	0.7115979700457977
59	0.7190053626149132	0.7150791624106231
60	0.7233471789546556	0.7139436944732895
61	0.7214638229097521	0.7170481110565962
62	0.7197950219619327	0.7150219619326501
63	0.7244734500148324	0.7108276475823198
64	0.7255811370011387	0.7134446079928902
65	0.7187407427355721	0.7148627905097892
66	0.7243761996161229	0.7119824513298602
67	0.7236438662349199	0.7123821531936843
68	0.7218755132205616	0.7168938523019653
69	0.726444560124935	0.7174388339406559
70	0.7221279754015798	0.712161374118645
71	0.7234053981469047	0.7104337317040419
72	0.7251985444500518	0.7121304682727296
73	0.7225704530398003	0.7170412271314274
74	0.723430995208546	0.7191893802529259
75	0.7208952068910849	0.7164297415843154
76	0.7240683724386877	0.7120978872491772
77	0.7191467982095552	0.7155613410066685
78	0.719123598641671	0.7132623156719542
79	0.7199824208359356	0.7134596257488492
80	0.7236419392523364	0.7184092679127726
81	0.723009388038943	0.7210318150208623
82	0.7208680681406306	0.7142306995288148
83	0.7217821782178218	0.7187458745874588
84	0.7174241911084016	0.7170855065591908
85	0.7177339290146438	0.7163481426325805
86	0.7189324084256831	0.7186997715929279
87	0.7155875299760192	0.7167552914190387
88	0.7209276860409093	0.7169856773684902
89	0.7192252897462554	0.7208617303915906
90	0.7145512928849079	0.7191331943740259
91	0.7189327670189277	0.718713657278657
92	0.7174199641880326	0.7153932429507487
93	0.7150623392688564	0.719212865002116
94	0.7151667553826104	0.7187826948844551
95	0.7144590312358533	0.7151471253961068
96	0.7058099073386246	0.7141181530281112
97	0.7036524331807049	0.7112838533347531
98	0.7095297544735747	0.6853932584269663
99	0.6971830985915493	0.6859154929577465
